experiment	wall_hours_dreg	wall_hours_pydreg	rss_gib_dreg	rss_gib_pydreg	wall_speedup	rss_reduction
G1	4.100555555555555	1.0530555555555556	37.0960807800293	9.93918228149414	3.8939593774729624	3.7323071183731935
G3	2.1483333333333334	0.571861111111111	35.847782135009766	7.091030120849609	3.7567396900956918	5.055370168236526
G5	2.038611111111111	0.5264277777777778	35.7504997253418	6.922092437744141	3.8725371212680857	5.164695508890462
G7	1.4258333333333333	0.3848	35.837303161621094	6.393013000488281	3.7053880803880803	5.605698464696371
GM12878_groseq	3.345	0.9223138888888889	36.03396224975586	7.570426940917969	3.626747943728485	4.759832243409311
Jurkat_ChROseq	1.9902777777777778	0.5284083333333334	36.720767974853516	6.771343231201172	3.7665525924290453	5.42296656971258
Jurkat_ChROseq_1	1.4725	0.404775	36.14439010620117	5.7631683349609375	3.637823482181459	6.271617972173314
Jurkat_ChROseq_2	1.2725	0.34141666666666665	36.1881217956543	6.013832092285156	3.7271174029777887	6.017481239969807
Jurkat_PROseq	1.3219444444444444	0.3486111111111111	36.10386276245117	6.223594665527344	3.79203187250996	5.801126953596677
Jurkat_leChROseq	1.5	0.38537499999999997	36.33359909057617	6.6878204345703125	3.8923126824521574	5.4328012311399
K562_groseq	1.2947222222222223	0.3544305555555556	36.246681213378906	5.1942291259765625	3.6529644578549316	6.97825997550006
