experiment	wall_hours_dreg	wall_hours_pydreg	rss_gib_dreg	rss_gib_pydreg	wall_speedup	rss_reduction	wall_hours_pydreg_0.2.7	rss_gib_pydreg_0.2.7	wall_speedup_0.2.7	rss_reduction_0.2.7
G1	4.100555555555555	1.1233333333333333	37.0960807800293	9.165420532226562	3.6503461918892186	4.047395386779653	1.0530555555555556	9.93918228149414	3.893959377472962	3.7323071183731935
G2	1.303611111111111	0.3942888888888889	34.795169830322266	5.123004913330078	3.3062334441751675	6.791945434169915	0.35581388888888893	5.132190704345703	3.6637443107742027	6.779788950722216
G3	2.1483333333333334	0.6243111111111111	35.847782135009766	6.934700012207031	3.4411262191215206	5.169334228143617	0.571861111111111	7.091030120849609	3.756739690095692	5.055370168236526
G5	2.038611111111111	0.5751444444444445	35.7504997253418	6.754646301269531	3.5445202171435195	5.292727128972322	0.5264277777777778	6.922092437744141	3.872537121268085	5.164695508890462
G6	1.4341666666666666	0.42022777777777776	36.07907485961914	5.837154388427734	3.4128316653666664	6.180935513911807	0.38027500000000003	6.423973083496094	3.7713935090833384	5.616317875351988
G7	1.4258333333333333	0.4166222222222222	35.837303161621094	5.793201446533203	3.4223650522722426	6.186096494722626	0.3848	6.393013000488281	3.7053880803880803	5.605698464696371
GM12878_groseq	3.345	0.9778583333333333	36.03396224975586	7.277774810791016	3.420740904868633	4.95123347267176	0.9223138888888889	7.570426940917969	3.626747943728485	4.759832243409311
Jurkat_ChROseq	1.9902777777777778	0.5775416666666667	36.720767974853516	6.638797760009766	3.4461198085756197	5.531237628000811	0.5284083333333334	6.771343231201172	3.7665525924290453	5.42296656971258
Jurkat_ChROseq_1	1.4725	0.45082500000000003	36.14439010620117	5.395092010498047	3.2662341263239614	6.699494658454307	0.404775	5.7631683349609375	3.637823482181459	6.271617972173314
Jurkat_ChROseq_2	1.2725	0.3750944444444444	36.1881217956543	5.573143005371094	3.392478931232134	6.493305799039813	0.34141666666666665	6.013832092285156	3.7271174029777887	6.017481239969807
Jurkat_PROseq	1.3219444444444444	0.3826888888888889	36.10386276245117	5.677703857421875	3.4543580512165377	6.358884448553322	0.3486111111111111	6.223594665527344	3.79203187250996	5.801126953596677
Jurkat_leChROseq	1.5	0.42531388888888894	36.33359909057617	6.073619842529297	3.526806998752555	5.982198430688316	0.38537499999999997	6.6878204345703125	3.8923126824521574	5.4328012311399
K562_groseq	1.2947222222222223	0.3892555555555555	36.246681213378906	5.1386260986328125	3.3261496303485285	7.053768948673407	0.3544305555555556	5.1942291259765625	3.6529644578549316	6.97825997550006
Sample_K562UNT_121109_proseq_1_QC	3.2641666666666667	0.9041527777777777	36.792579650878906	8.307422637939453	3.610193704972427	4.428880202007493	0.8292194444444445	8.758686065673828	3.9364328568700815	4.200696243135455
